Libellé,"Indice CVS-CJO de la production industrielle (base 2021) - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie (NAF rév. 2, niveau division, poste 16)",Codes
idBank,010767746,
Dernière mise à jour,05/02/2026 08:45,
Période,,
1990-01,138.64,A
1990-02,144.63,A
1990-03,141.88,A
1990-04,135.67,A
1990-05,140.56,A
1990-06,137.83,A
1990-07,133.31,A
1990-08,124.97,A
1990-09,131.63,A
1990-10,133.26,A
1990-11,134.99,A
1990-12,135.28,A
1991-01,150.62,A
1991-02,141.61,A
1991-03,143.43,A
1991-04,149.16,A
1991-05,145.74,A
1991-06,144.87,A
1991-07,148.08,A
1991-08,147.23,A
1991-09,146.24,A
1991-10,142.86,A
1991-11,149.6,A
1991-12,145.48,A
1992-01,143.52,A
1992-02,146.56,A
1992-03,145.85,A
1992-04,145.87,A
1992-05,143.18,A
1992-06,139.06,A
1992-07,135.55,A
1992-08,135.81,A
1992-09,134.28,A
1992-10,136.27,A
1992-11,128.9,A
1992-12,126.93,A
1993-01,127.27,A
1993-02,127.67,A
1993-03,124.27,A
1993-04,126.59,A
1993-05,126.31,A
1993-06,125.7,A
1993-07,130.35,A
1993-08,128.39,A
1993-09,125.94,A
1993-10,127.29,A
1993-11,130.12,A
1993-12,130.01,A
1994-01,133.88,A
1994-02,133.9,A
1994-03,132.23,A
1994-04,127.51,A
1994-05,133.74,A
1994-06,136.11,A
1994-07,135.28,A
1994-08,145.14,A
1994-09,136.85,A
1994-10,137.36,A
1994-11,144.49,A
1994-12,140.23,A
1995-01,136.76,A
1995-02,135.0,A
1995-03,136.02,A
1995-04,134.85,A
1995-05,134.85,A
1995-06,132.79,A
1995-07,129.32,A
1995-08,136.89,A
1995-09,132.7,A
1995-10,129.31,A
1995-11,126.03,A
1995-12,132.64,A
1996-01,127.49,A
1996-02,126.11,A
1996-03,126.06,A
1996-04,130.91,A
1996-05,129.61,A
1996-06,126.49,A
1996-07,134.99,A
1996-08,130.73,A
1996-09,131.78,A
1996-10,131.67,A
1996-11,128.31,A
1996-12,136.11,A
1997-01,128.5,A
1997-02,140.42,A
1997-03,138.22,A
1997-04,141.08,A
1997-05,138.06,A
1997-06,141.43,A
1997-07,137.14,A
1997-08,134.89,A
1997-09,136.48,A
1997-10,144.27,A
1997-11,138.98,A
1997-12,139.48,A
1998-01,138.0,A
1998-02,139.78,A
1998-03,142.76,A
1998-04,136.43,A
1998-05,136.11,A
1998-06,136.18,A
1998-07,135.65,A
1998-08,137.0,A
1998-09,138.52,A
1998-10,137.85,A
1998-11,135.18,A
1998-12,129.66,A
1999-01,137.93,A
1999-02,132.77,A
1999-03,134.53,A
1999-04,135.95,A
1999-05,135.78,A
1999-06,138.19,A
1999-07,135.71,A
1999-08,135.81,A
1999-09,134.61,A
1999-10,133.9,A
1999-11,137.95,A
1999-12,137.45,A
2000-01,145.17,A
2000-02,149.02,A
2000-03,146.72,A
2000-04,147.4,A
2000-05,150.92,A
2000-06,148.52,A
2000-07,153.47,A
2000-08,153.5,A
2000-09,149.73,A
2000-10,156.06,A
2000-11,154.62,A
2000-12,155.57,A
2001-01,149.75,A
2001-02,151.6,A
2001-03,155.98,A
2001-04,145.1,A
2001-05,153.97,A
2001-06,156.51,A
2001-07,146.89,A
2001-08,146.79,A
2001-09,145.94,A
2001-10,149.81,A
2001-11,143.17,A
2001-12,143.15,A
2002-01,144.84,A
2002-02,144.76,A
2002-03,144.85,A
2002-04,146.52,A
2002-05,146.36,A
2002-06,146.92,A
2002-07,147.66,A
2002-08,146.94,A
2002-09,143.55,A
2002-10,142.97,A
2002-11,143.69,A
2002-12,138.07,A
2003-01,141.28,A
2003-02,141.12,A
2003-03,140.09,A
2003-04,142.58,A
2003-05,141.6,A
2003-06,144.09,A
2003-07,149.8,A
2003-08,151.39,A
2003-09,143.54,A
2003-10,142.27,A
2003-11,141.8,A
2003-12,148.62,A
2004-01,153.23,A
2004-02,150.71,A
2004-03,148.5,A
2004-04,146.93,A
2004-05,146.71,A
2004-06,148.47,A
2004-07,149.48,A
2004-08,143.09,A
2004-09,151.1,A
2004-10,147.85,A
2004-11,146.27,A
2004-12,160.34,A
2005-01,155.42,A
2005-02,145.41,A
2005-03,146.05,A
2005-04,145.21,A
2005-05,142.29,A
2005-06,148.88,A
2005-07,146.74,A
2005-08,151.66,A
2005-09,158.73,A
2005-10,153.64,A
2005-11,162.41,A
2005-12,159.64,A
2006-01,154.68,A
2006-02,149.9,A
2006-03,157.07,A
2006-04,156.05,A
2006-05,160.75,A
2006-06,158.76,A
2006-07,153.64,A
2006-08,154.95,A
2006-09,151.44,A
2006-10,155.18,A
2006-11,151.1,A
2006-12,177.78,A
2007-01,152.69,A
2007-02,155.83,A
2007-03,158.81,A
2007-04,154.39,A
2007-05,157.1,A
2007-06,156.13,A
2007-07,161.34,A
2007-08,155.07,A
2007-09,158.03,A
2007-10,162.25,A
2007-11,157.08,A
2007-12,153.07,A
2008-01,153.67,A
2008-02,159.33,A
2008-03,168.07,A
2008-04,156.79,A
2008-05,144.87,A
2008-06,147.17,A
2008-07,146.21,A
2008-08,142.55,A
2008-09,139.0,A
2008-10,143.27,A
2008-11,130.9,A
2008-12,130.43,A
2009-01,131.68,A
2009-02,132.89,A
2009-03,120.24,A
2009-04,119.0,A
2009-05,120.48,A
2009-06,119.53,A
2009-07,122.82,A
2009-08,127.26,A
2009-09,120.29,A
2009-10,122.85,A
2009-11,125.44,A
2009-12,136.58,A
2010-01,121.66,A
2010-02,115.85,A
2010-03,118.19,A
2010-04,117.94,A
2010-05,121.2,A
2010-06,117.87,A
2010-07,118.27,A
2010-08,121.8,A
2010-09,119.46,A
2010-10,120.45,A
2010-11,122.01,A
2010-12,115.12,A
2011-01,123.92,A
2011-02,124.77,A
2011-03,122.97,A
2011-04,121.92,A
2011-05,122.78,A
2011-06,119.8,A
2011-07,126.85,A
2011-08,126.46,A
2011-09,125.06,A
2011-10,117.82,A
2011-11,122.89,A
2011-12,116.06,A
2012-01,117.73,A
2012-02,111.82,A
2012-03,115.51,A
2012-04,114.54,A
2012-05,114.08,A
2012-06,113.91,A
2012-07,113.38,A
2012-08,114.46,A
2012-09,110.28,A
2012-10,111.43,A
2012-11,108.36,A
2012-12,110.15,A
2013-01,110.97,A
2013-02,110.85,A
2013-03,109.9,A
2013-04,112.31,A
2013-05,108.29,A
2013-06,109.29,A
2013-07,112.56,A
2013-08,109.24,A
2013-09,108.44,A
2013-10,110.08,A
2013-11,110.12,A
2013-12,108.68,A
2014-01,105.85,A
2014-02,110.66,A
2014-03,105.49,A
2014-04,105.42,A
2014-05,101.75,A
2014-06,104.98,A
2014-07,107.09,A
2014-08,102.6,A
2014-09,103.54,A
2014-10,100.77,A
2014-11,97.9,A
2014-12,100.16,A
2015-01,100.24,A
2015-02,98.13,A
2015-03,101.77,A
2015-04,102.25,A
2015-05,101.95,A
2015-06,100.05,A
2015-07,99.05,A
2015-08,106.01,A
2015-09,103.35,A
2015-10,101.19,A
2015-11,102.91,A
2015-12,102.6,A
2016-01,102.32,A
2016-02,101.29,A
2016-03,99.98,A
2016-04,100.12,A
2016-05,100.92,A
2016-06,100.0,A
2016-07,98.09,A
2016-08,103.63,A
2016-09,101.19,A
2016-10,98.39,A
2016-11,102.92,A
2016-12,100.57,A
2017-01,99.89,A
2017-02,101.65,A
2017-03,101.94,A
2017-04,102.67,A
2017-05,102.49,A
2017-06,105.11,A
2017-07,103.75,A
2017-08,107.12,A
2017-09,105.97,A
2017-10,107.0,A
2017-11,105.79,A
2017-12,108.34,A
2018-01,106.02,A
2018-02,104.59,A
2018-03,103.71,A
2018-04,103.77,A
2018-05,101.48,A
2018-06,104.47,A
2018-07,103.0,A
2018-08,101.88,A
2018-09,103.62,A
2018-10,105.35,A
2018-11,103.61,A
2018-12,103.92,A
2019-01,104.04,A
2019-02,104.87,A
2019-03,106.48,A
2019-04,104.9,A
2019-05,106.0,A
2019-06,106.45,A
2019-07,107.53,A
2019-08,104.02,A
2019-09,105.88,A
2019-10,109.17,A
2019-11,108.41,A
2019-12,102.44,A
2020-01,105.13,A
2020-02,105.82,A
2020-03,71.53,A
2020-04,52.02,A
2020-05,83.59,A
2020-06,102.04,A
2020-07,107.96,A
2020-08,105.75,A
2020-09,104.67,A
2020-10,103.26,A
2020-11,102.92,A
2020-12,98.92,A
2021-01,104.45,A
2021-02,101.28,A
2021-03,100.21,A
2021-04,99.26,A
2021-05,99.95,A
2021-06,98.33,A
2021-07,98.0,A
2021-08,100.44,A
2021-09,98.81,A
2021-10,100.19,A
2021-11,99.42,A
2021-12,99.65,A
2022-01,101.54,A
2022-02,101.22,A
2022-03,103.62,A
2022-04,101.28,A
2022-05,100.66,A
2022-06,98.3,A
2022-07,95.06,A
2022-08,99.56,A
2022-09,99.69,A
2022-10,98.1,A
2022-11,104.72,A
2022-12,95.88,A
2023-01,94.8,A
2023-02,94.35,A
2023-03,93.78,A
2023-04,91.24,A
2023-05,94.76,A
2023-06,91.88,A
2023-07,91.69,A
2023-08,89.87,A
2023-09,89.86,A
2023-10,89.02,A
2023-11,87.29,A
2023-12,89.78,A
2024-01,87.76,A
2024-02,89.88,A
2024-03,88.8,A
2024-04,93.93,A
2024-05,88.67,A
2024-06,87.49,A
2024-07,86.78,A
2024-08,84.8,A
2024-09,84.65,A
2024-10,83.94,A
2024-11,85.18,A
2024-12,83.22,A
2025-01,82.45,A
2025-02,83.63,A
2025-03,83.05,A
2025-04,81.62,A
2025-05,80.53,A
2025-06,82.37,A
2025-07,81.44,A
2025-08,86.64,A
2025-09,81.81,A
2025-10,82.42,A
2025-11,80.83,A
2025-12,80.99,A
